,gram,language1,language2,l1,l2,kl,rao,dot_product
0,unigram,Bengali,Bengali,0.0,0.0,0.0,0.0,0.05797933279783725
1,unigram,Bengali,Hindi,1.197217247209048,0.2514254953170622,1.1067492361902023,2.105040322217491,0.02066326832323982
2,unigram,Bengali,Malayalam,1.139254057647337,0.25578083057205503,0.3445208530611285,1.4430277424250748,0.03811259525995457
3,unigram,Bengali,Marathi,1.239951376937271,0.27332804773634567,0.47671103392481745,1.912288058242917,0.017594233918595024
4,unigram,Bengali,Oriya,0.7745767904602429,0.146623982823777,0.06045403785474385,0.9528709694885553,0.052676922974712874
5,unigram,Bengali,Punjabi,1.359840998679306,0.26872176267576076,0.7872896692126489,2.079512225473956,0.0140579221236875
6,unigram,Bengali,Tamil,1.1471950678629008,0.2309254785869543,0.15768130539408579,1.4226268480805841,0.03815245959823056
7,unigram,Bengali,Telugu,1.2048841671278159,0.25449942714062407,0.3723119296983192,1.7656277912686662,0.02121023815980855
8,unigram,Bengali,Urdu,1.5141718095892476,0.2938688137303123,0.06443932672488632,1.3332458882347802,0.010508256367443151
9,unigram,Hindi,Hindi,0.0,0.0,0.0,0.0,0.04656198354407244
10,unigram,Hindi,Malayalam,1.1834121743509909,0.29933941589006835,0.6143511099713381,1.8292071467649995,0.02031379432443367
11,unigram,Hindi,Marathi,0.40639389007577026,0.08223369278309159,0.1512108098754234,0.6763317502964723,0.04585848001702168
12,unigram,Hindi,Oriya,0.9579060010206246,0.2651855690474014,0.18115639206209053,1.4900078719861765,0.022555851501887034
13,unigram,Hindi,Punjabi,0.9233172209716989,0.18974534282233846,0.4640773160669623,0.9395803270020787,0.02645329280320568
14,unigram,Hindi,Tamil,1.1967325998608558,0.26421912144129944,0.41040851476755863,1.7620603932946424,0.024201201234049025
15,unigram,Hindi,Telugu,0.884752634825091,0.1698641633193471,0.18609127842692078,1.066622174877223,0.03345962575028813
16,unigram,Hindi,Urdu,1.3825398125156994,0.26538534267865777,0.2444522536279264,1.21918496112139,0.01276433152785694
17,unigram,Malayalam,Malayalam,0.0,0.0,0.0,0.0,0.08366969101020225
18,unigram,Malayalam,Marathi,1.2168395208431075,0.31089078796878533,0.7564181631826634,1.8898775859339352,0.019466982842532392
19,unigram,Malayalam,Oriya,1.152361895508505,0.3015121221654417,0.3014521486282266,1.2876148380607275,0.030816618344094833
20,unigram,Malayalam,Punjabi,1.2514305015864198,0.3139777953233015,0.17394499231075414,1.3684125271182717,0.013717766119613416
21,unigram,Malayalam,Tamil,0.5381111122796146,0.13684982552877334,-0.07825876614696994,0.5795897628071197,0.06829698966109211
